N	52	ATOMN	214.11	C5 H11 O7 P	unknown	
UNK	1072	ATOMP	103.12	C4 H9 N O2	unknown	
NCO	253	HETAC	161.116	Co H18 N6	ion complex	anomalous signal
IRI	29	HETAC	294.4	H18 Ir N6	ion complex	
SO4	20857	HETAI	96.063	O4 S	salt	
ZN	17033	HETAI	65.409	Zn	ion	
MG	16710	HETAI	24.305	Mg	ion	
CL	14054	HETAI	35.453	Cl	ion	
CA	11804	HETAI	40.078	Ca	ion	
NA	9182	HETAI	22.99	Na	ion	
PO4	6108	HETAI	94.971	O4 P	salt	
ACT	5682	HETAI	59.044	C2 H3 O2	salt	
MN	3668	HETAI	54.938	Mn	ion	
K	3025	HETAI	39.098	K	ion	
NI	1928	HETAI	58.693	Ni	ion	
FE	1752	HETAI	55.845	Fe	ion	
CU	1559	HETAI	63.546	Cu	ion	
CD	1052	HETAI	112.411	Cd	ion	
IOD	933	HETAI	126.904	I	ion	
FE2	841	HETAI	55.845	Fe	ion	
CO	831	HETAI	58.933	Co	ion	
NO3	728	HETAI	62.005	N O3	salt	
HG	551	HETAI	200.59	Hg	ion	
FLC	519	HETAI	189.1	C6 H5 O7	salt	
BR	499	HETAI	79.904	Br	ion	
SCN	405	HETAI	58.082	C N S	salt	
CO3	338	HETAI	60.009	C O3	salt	
CAC	323	HETAI	136.989	C2 H6 As O2	salt	
BCT	256	HETAI	61.017	C H O3	salt	
NH4	242	HETAI	18.038	H4 N	salt	
CU1	207	HETAI	63.546	Cu	ion	
BA	197	HETAI	137.327	Ba	ion	
SR	167	HETAI	87.62	Sr	ion	
OH	159	HETAI	17.007	H O	ion	
ALF	147	HETAI	102.975	Al F4	ion complex	
NO2	142	HETAI	46.005	N O2	salt	
CS	136	HETAI	132.905	Cs	ion	
PT	131	HETAI	195.078	Pt	ion	
MLT	123	HETAI	134.087	C4 H6 O5	salt	
OXL	103	HETAI	88.019	C2 O4	salt	
SO3	103	HETAI	80.063	O3 S	salt	
VO4	97	HETAI	114.939	O4 V	salt	
YB	93	HETAI	173.04	Yb	ion	
LI	90	HETAI	6.941	Li	ion	
F	73	HETAI	18.998	F	ion	
RB	65	HETAI	85.468	Rb	ion	
OAA	64	HETAI	131.064	C4 H3 O5	salt	
WO4	57	HETAI	247.838	O4 W	salt	
PB	56	HETAI	207.2	Pb	ion	
SM	48	HETAI	150.36	Sm	ion	
PR	44	HETAI	140.908	Pr	ion	
YT3	44	HETAI	88.906	Y	ion	
IUM	43	HETAI	270.028	O2 U	salt	
RU	39	HETAI	101.07	Ru	ion	
TB	38	HETAI	158.925	Tb	ion	
PO3	37	HETAI	78.972	O3 P	salt	
EMC	29	HETAI	229.651	C2 H5 Hg	ion	
3CO	29	HETAI	58.933	Co	ion	
PD	19	HETAI	106.42	Pd	ion	
Y1	19	HETAI	88.906	Y	ion	
OS	18	HETAI	190.23	Os	ion	
AR	17	HETAI	39.948	Ar	ion	
LU	15	HETAI	174.967	Lu	ion	
IR	14	HETAI	192.217	Ir	ion	
EU	13	HETAI	151.964	Eu	ion	
EU3	11	HETAI	151.964	Eu	ion	
CR	10	HETAI	51.996	Cr	ion	
IR3	10	HETAI	192.217	Ir	ion	
2PO	9	HETAI	79.98	H O3 P	salt	
AUC	8	HETAI	249.001	C2 Au N2	salt	
LCP	8	HETAI	99.451	Cl O4	salt	
GA	8	HETAI	69.723	Ga	ion	
RE	8	HETAI	186.207	Re	ion	
RH3	8	HETAI	102.906	Rh	ion	
3NI	7	HETAI	58.693	Ni	ion	
SE4	7	HETAI	142.958	O4 Se	salt	
PT4	7	HETAI	195.078	Pt	ion	
PBM	6	HETAI	252.304	C3 H9 Pb	ion	
AL	5	HETAI	26.982	Al	ion	
D8U	5	HETAI	2.014	D	ion	
ER3	4	HETAI	167.259	Er	ion	
RHD	4	HETAI	205.089	H18 N6 Rh	ion	
VN3	4	HETAI	98.94	O3 V	salt	
RH	3	HETAI	102.906	Rh	ion	
SB	3	HETAI	121.76	Sb	ion	
TH	3	HETAI	232.038	Th	ion	
4TI	3	HETAI	47.867	Ti	ion	
V	3	HETAI	50.941	V	ion	
BS3	2	HETAI	208.98	Bi	ion	
PTN	2	HETAI	246.17	H9 N3 Pt	ion	
ND4	2	HETAI	22.063	N	ion	
AM	1	HETAI	243	Am	ion	
0BE	1	HETAI	9.012	Be	ion	
TCN	1	HETAI	162.763	C4 N4 Ni	ion	
CF	1	HETAI	251	Cf	ion	
LCO	1	HETAI	83.451	Cl O3	salt	
CUL	1	HETAI	134.452	Cl2 Cu	salt	
ZCM	1	HETAI	247	Cm	ion	
DY	1	HETAI	162.5	Dy	ion	
SFL	1	HETAI	120.95	F4 Sc	ion	
PDV	1	HETAI	214.887	H O7 V2	salt	
IN	1	HETAI	114.818	In	ion	
OS4	1	HETAI	190.23	Os	ion	
4PU	1	HETAI	244	Pu	ion	
TA0	1	HETAI	180.948	Ta	ion	
YB2	1	HETAI	173.04	Yb	ion	
ZR	1	HETAI	91.224	Zr	ion	
GOL	18415	HETAIN	92.094	C3 H8 O3	cryoprotectant 	
EDO	11149	HETAIN	62.068	C2 H6 O2	cryoprotectant 	
PEG	3480	HETAIN	106.12	C4 H10 O3	precipitant	PEG
DMS	2463	HETAIN	78.133	C2 H6 O S	solvent	DMSO
ACE	1879	HETAIN	44.053	C2 H4 O	group	
MPD	1729	HETAIN	118.174	C6 H14 O2	precipitant	
MES	1578	HETAIN	195.237	C6 H13 N O4 S	buffer	MES
TRS	1527	HETAIN	122.143	C4 H12 N O3	buffer	TRIS
PG4	1473	HETAIN	194.226	C8 H18 O5	precipitant	PEG
PGE	1438	HETAIN	150.173	C6 H14 O4	precipitant	PEG
NH2	1404	HETAIN	16.023	H2 N	group	
FMT	1397	HETAIN	46.025	C H2 O2	salt	
SF4	1228	HETAIN	351.64	Fe4 S4	ion complex	
EPE	1092	HETAIN	238.305	C8 H18 N2 O4 S	buffer	HEPES
CIT	1089	HETAIN	192.124	C6 H8 O7	salt	
BME	939	HETAIN	78.133	C2 H6 O S	reducing agent	
ACY	875	HETAIN	60.052	C2 H4 O2	salt	
IMD	814	HETAIN	69.085	C3 H5 N2	buffer	Imidazole
1PE	779	HETAIN	238.278	C10 H22 O6	precipitant	PEG
MLI	767	HETAIN	102.046	C3 H2 O4	salt	
FES	734	HETAIN	175.82	Fe2 S2	ion complex	
UNX	710	HETAIN	None	X	unkown	
IPA	654	HETAIN	60.095	C3 H8 O	precipitant	
MRD	486	HETAIN	118.174	C6 H14 O2	precipitant	
TLA	463	HETAIN	150.087	C4 H6 O6	salt	
UNL	430	HETAIN	None		unkown	
P6G	395	HETAIN	282.331	C12 H26 O7	precipitant	PEG
POP	291	HETAIN	175.959	H2 O7 P2	salt	
F3S	271	HETAIN	295.795	Fe3 S4	ion complex	
BTB	254	HETAIN	209.24	C8 H19 N O5	buffer	BIS-TRIS
EOH	244	HETAIN	46.068	C2 H6 O	solvent	
DTT	239	HETAIN	154.251	C4 H10 O2 S2	reducing agent	DTT
NHE	224	HETAIN	207.29	C8 H17 N O3 S	buffer	CHES
PYR	217	HETAIN	88.062	C3 H4 O3	salt	
BEF	204	HETAIN	66.007	Be F3	salt	
DIO	182	HETAIN	88.105	C4 H8 O2	solvent	
MLA	167	HETAIN	104.061	C3 H4 O4	salt	
PGO	146	HETAIN	76.094	C3 H8 O2	solvent	
2PE	138	HETAIN	414.488	C18 H38 O10	precipitant	PEG
XE	137	HETAIN	131.293	Xe	ion	wrong type
B3P	135	HETAIN	282.334	C11 H26 N2 O6	buffer	BIS-TRIS propane
PE4	135	HETAIN	354.436	C16 H34 O8	precipitant	PEG
TAR	135	HETAIN	150.087	C4 H6 O6	salt	
PPV	116	HETAIN	177.975	H4 O7 P2	salt	
TAM	113	HETAIN	163.215	C7 H17 N O3	reducing agent	TCEP
PG0	112	HETAIN	120.147	C5 H12 O3	precipitant	PEG
